"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025-01","Ontario","2021A000235","Population","Total - Gender","55 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064105","7.1.1.7.1.1","4926.0","","","","1"
"2024-08","Ontario","2021A000235","Population","Total - Gender","55 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066184","7.1.1.7.1.2","4887.2","","","","1"
"2024-09","Ontario","2021A000235","Population","Total - Gender","55 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066184","7.1.1.7.1.2","4897.0","","","","1"
"2024-10","Ontario","2021A000235","Population","Total - Gender","55 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066184","7.1.1.7.1.2","4904.6","","","","1"
"2024-11","Ontario","2021A000235","Population","Total - Gender","55 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066184","7.1.1.7.1.2","4911.7","","","","1"
"2024-12","Ontario","2021A000235","Population","Total - Gender","55 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066184","7.1.1.7.1.2","4918.8","","","","1"
"2025-01","Ontario","2021A000235","Population","Total - Gender","55 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066184","7.1.1.7.1.2","4926.0","","","","1"
"2024-08","Ontario","2021A000235","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063952","7.1.2.1.1.1","6690.1","","","","1"
"2024-09","Ontario","2021A000235","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063952","7.1.2.1.1.1","6709.3","","","","1"
"2024-10","Ontario","2021A000235","Population","Men+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063952","7.1.2.1.1.1","6724.9","","","","1"
