"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025-01","Ontario","2021A000235","Full-time employment","Total - Gender","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063946","7.4.1.1.1.1","6794.7","","","","1"
"2025-01","Ontario","2021A000235","Full-time employment","Total - Gender","15 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066025","7.4.1.1.1.2","6657.9","","","","1"
"2025-01","Ontario","2021A000235","Full-time employment","Total - Gender","15 years and over","Standard error of estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887688","7.4.1.1.2.1","37.2","","","","1"
"2025-01","Ontario","2021A000235","Full-time employment","Total - Gender","15 years and over","Standard error of month-to-month change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887689","7.4.1.1.3.1","27.9","","","","1"
"2025-01","Ontario","2021A000235","Full-time employment","Total - Gender","15 years and over","Standard error of year-over-year change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887690","7.4.1.1.4.1","47.2","","","","1"
"2025-01","Ontario","2021A000235","Full-time employment","Total - Gender","15 to 64 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v21581339","7.4.1.8.1.1","6527.2","","","","1"
"2025-01","Ontario","2021A000235","Full-time employment","Total - Gender","15 to 64 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v21581340","7.4.1.8.1.2","6395.6","","","","1"
"2025-01","Ontario","2021A000235","Full-time employment","Total - Gender","15 to 64 years","Standard error of estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887691","7.4.1.8.2.1","36.3","","","","1"
"2025-01","Ontario","2021A000235","Full-time employment","Total - Gender","15 to 64 years","Standard error of month-to-month change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887692","7.4.1.8.3.1","28.2","","","","1"
"2025-01","Ontario","2021A000235","Full-time employment","Total - Gender","15 to 64 years","Standard error of year-over-year change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887693","7.4.1.8.4.1","47.0","","","","1"
"2025-01","Ontario","2021A000235","Full-time employment","Total - Gender","15 to 19 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066079","7.4.1.3.1.2","37.3","","","","1"
"2025-01","Ontario","2021A000235","Full-time employment","Total - Gender","20 to 24 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066106","7.4.1.4.1.2","420.2","","","","1"
"2025-01","Ontario","2021A000235","Full-time employment","Total - Gender","25 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064054","7.4.1.5.1.1","6250.0","","","","1"
"2025-01","Ontario","2021A000235","Full-time employment","Total - Gender","25 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066133","7.4.1.5.1.2","6200.4","","","","1"
"2025-01","Ontario","2021A000235","Full-time employment","Total - Gender","25 years and over","Standard error of estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887697","7.4.1.5.2.1","33.2","","","","1"
"2025-01","Ontario","2021A000235","Full-time employment","Total - Gender","25 years and over","Standard error of month-to-month change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887698","7.4.1.5.3.1","24.0","","","","1"
"2025-01","Ontario","2021A000235","Full-time employment","Total - Gender","25 years and over","Standard error of year-over-year change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887699","7.4.1.5.4.1","41.2","","","","1"
